label,k,seed,n_fail,p_is,p_ref,ess,cv,max_share,n_star_is,n_star_naive,speedup,sensitive_pcs,status
k300_s13,300,13,8,0.020844091361412364,0.028666666666666667,173.42185679691613,0.3195135292314068,0.00038538190399314376,2370.1672376088427,4235.46511627907,1.7869899849565232,"[0, 4, 5, 1, 8, 6, 256]",ok
k300_s14,300,14,9,0.0340322079905854,0.028666666666666667,176.76863070926925,0.35003994009206185,0.00039281917935393164,1928.3587243312252,4235.46511627907,2.196409341704808,"[0, 5, 3, 239, 6, 4, 2]",ok
k300_s15,300,15,4,0.04076735160496761,0.028666666666666667,173.9140587352065,0.32489610151806636,0.0003864756860782367,2990.478360941793,4235.46511627907,1.4163169249434702,"[4, 0, 2, 3, 7, 6, 38]",ok
k300_s16,300,16,3,0.04244016887358968,0.028666666666666667,183.7164137384433,0.3643640958681071,0.0004082586970549301,4769.835882684041,4235.46511627907,0.8879687310951514,"[4, 3, 7, 5, 11, 264, 239]",ok
k300_s17,300,17,3,0.014315250825253931,0.028666666666666667,157.7424525113434,0.18636963456846278,0.00035053878335854086,5052.984496714392,4235.46511627907,0.8382105900053921,"[0, 3, 4, 8, 1, 6, 151]",ok
k300_s18,300,18,12,0.030702134488996585,0.028666666666666667,176.51364498951546,0.3340617676130065,0.0003922525441982776,1701.8180326767667,4235.46511627907,2.4887884808795704,"[0, 4, 8, 3, 1, 7, 118]",ok
k300_s19,300,19,16,0.030723424702393153,0.028666666666666667,175.4401449684281,0.3388999619889415,0.0003898669884905911,1254.432721164916,4235.46511627907,3.3763987855369786,"[0, 4, 5, 3, 259, 262, 1]",ok
k300_s20,300,20,5,0.024593781701547857,0.028666666666666667,172.74779122371052,0.3090176155785701,0.0003838839804971345,4314.2866470075805,4235.46511627907,0.9817301127213738,"[0, 3, 244, 233, 2, 129, 239]",ok
k300_s21,300,21,8,0.04975798446247602,0.028666666666666667,182.68949118831145,0.3772771447786609,0.00040597664708489576,1938.0049327614695,4235.46511627907,2.185476953479134,"[0, 6, 5, 207, 238, 8, 4]",ok
k300_s22,300,22,8,0.03193410292412893,0.028666666666666667,178.92258172385962,0.3307420810659422,0.0003976057371641247,2401.2823525221324,4235.46511627907,1.7638346910060139,"[0, 4, 8, 6, 178, 96, 109]",ok
k300_s23,300,23,6,0.031537116788036765,0.028666666666666667,178.04365907248487,0.32669223602403863,0.0003956525757166331,2826.131571013428,4235.46511627907,1.4986793819936224,"[8, 3, 180, 6, 4, 267, 5]",ok
k300_s24,300,24,7,0.019627840995983654,0.028666666666666667,172.95911261157818,0.3126135866103575,0.0003843535835797864,2261.992028145092,4235.46511627907,1.8724491791212416,"[6, 0, 5, 2, 4, 3, 113]",ok
k300_s25,300,25,5,0.03159920058408318,0.028666666666666667,166.90409205382346,0.2757469572317082,0.0003708979823418299,1842.5475796740773,4235.46511627907,2.2987005399492957,"[3, 4, 5, 2, 0, 6, 1]",ok
k500_s1,500,1,12,0.02950847066280527,0.028666666666666667,301.49881484635847,0.35757238917445416,0.0004019984197951447,1607.2979804990541,4235.46511627907,2.6351461693269775,"[0, 4, 8, 3, 2, 7, 6]",ok
k500_s2,500,2,11,0.023784251391686016,0.028666666666666667,295.12296716157573,0.3585218984160645,0.00039349728954876764,1632.4696657177844,4235.46511627907,2.594513824804682,"[0, 6, 3, 8, 4, 14, 5]",ok
k500_s3,500,3,15,0.025768684081744778,0.028666666666666667,280.69163411756284,0.28749963342131424,0.00037425551215674896,1829.9419421306623,4235.46511627907,2.314535242220623,"[3, 6, 8, 0, 4, 1, 161]",ok
k500_s4,500,4,16,0.029290879761395803,0.028666666666666667,300.44358011103793,0.3512462730567632,0.00040059144014805017,2572.5611953983894,4235.46511627907,1.6464001415613212,"[6, 0, 5, 1, 8, 37, 151]",ok
k500_s5,500,5,14,0.016702968489721942,0.028666666666666667,310.6316356846767,0.3399528898903808,0.0004141755142462355,2591.7815668932867,4235.46511627907,1.6341906163627946,"[3, 8, 6, 4, 112, 2, 7]",ok
k500_s6,500,6,11,0.021212447013028827,0.028666666666666667,285.28592043591834,0.313051210421821,0.0003803812272478907,1769.0639451534623,4235.46511627907,2.3941842960977042,"[0, 6, 8, 3, 1, 4, 274]",ok
k500_s7,500,7,17,0.027159660728693677,0.028666666666666667,290.7224983006032,0.3428730007230016,0.0003876299977341376,1686.880819309876,4235.46511627907,2.510826531308745,"[6, 5, 3, 4, 7, 2, 0]",ok
k500_s8,500,8,13,0.028846934911502572,0.028666666666666667,292.9924836985445,0.3336365642443367,0.0003906566436517358,2512.9219627741995,4235.46511627907,1.6854741926021561,"[0, 7, 3, 5, 4, 56, 9]",ok
